word,phonetic,meaning,part_of_speech,example_sentence,example_translation
abandon,/əˈbændən/,放弃,v.,He abandoned the plan.,他放弃了这个计划。
ability,/əˈbɪləti/,能力,n.,She has the ability to solve problems.,她有解决问题的能力。
accurate,/ˈækjərət/,准确的,adj.,The report is accurate.,这份报告是准确的。
achieve,/əˈtʃiːv/,实现,v.,She achieved her dream.,她实现了梦想。
acquire,/əˈkwaɪə(r)/,获得,v.,He acquired new skills.,他获得了新技能。
adapt,/əˈdæpt/,适应,v.,We must adapt to changes.,我们必须适应变化。
adequate,/ˈædɪkwət/,足够的,adj.,The food is adequate.,食物足够了。
adjust,/əˈdʒʌst/,调整,v.,Please adjust your seat.,请调整座位。
admire,/ədˈmaɪə(r)/,钦佩,v.,I admire your courage.,我钦佩你的勇气。
admit,/ədˈmɪt/,承认,v.,He admitted his mistake.,他承认了错误。
advise,/ədˈvaɪz/,建议,v.,I advise you to study hard.,我建议你努力学习。
affect,/əˈfekt/,影响,v.,Weather affects our mood.,天气影响心情。
afford,/əˈfɔːd/,负担得起,v.,I can afford this car.,我买得起这辆车。
agree,/əˈɡriː/,同意,v.,We all agree with you.,我们都同意你。
allow,/əˈlaʊ/,允许,v.,They allow smoking here.,他们允许在这里吸烟。
amaze,/əˈmeɪz/,使惊讶,v.,The result amazed us.,结果让我们惊讶。
analyse,/ˈænəlaɪz/,分析,v.,Let’s analyse the data.,我们来分析数据。
announce,/əˈnaʊns/,宣布,v.,They announced the winner.,他们宣布了获胜者。
apologize,/əˈpɒlədʒaɪz/,道歉,v.,He apologized to her.,他向她道歉。
appear,/əˈpɪə(r)/,出现,v.,A star appeared in the sky.,天空中出现了一颗星星。
apply,/əˈplaɪ/,申请,v.,She applied for a job.,她申请了一份工作。
appreciate,/əˈpriːʃieɪt/,感激,v.,I appreciate your help.,我感激你的帮助。
approach,/əˈprəʊtʃ/,接近,v.,Don’t approach the dog.,不要靠近这只狗。
approve,/əˈpruːv/,赞成,v.,My parents approve of me.,我父母赞成我。
argue,/ˈɑːɡjuː/,争论,v.,They argued for hours.,他们争论了几个小时。
arrange,/əˈreɪndʒ/,安排,v.,I arranged a meeting.,我安排了一场会议。
arrive,/əˈraɪv/,到达,v.,We arrived at noon.,我们中午到达。
assist,/əˈsɪst/,帮助,v.,Can you assist me?,你能帮我吗？
assume,/əˈsjuːm/,假定,v.,I assume you are right.,我假定你是对的。
attach,/əˈtætʃ/,附上,v.,Attach a photo to the email.,在邮件里附上一张照片。
attack,/əˈtæk/,攻击,v.,The enemy attacked us.,敌人攻击了我们。
attempt,/əˈtempt/,尝试,v.,He attempted to climb.,他尝试攀爬。
attend,/əˈtend/,参加,v.,She attended the party.,她参加了派对。
attract,/əˈtrækt/,吸引,v.,The movie attracts many people.,这部电影吸引了很多人。
avoid,/əˈvɔɪd/,避免,v.,Avoid eating too much.,避免吃太多。
awake,/əˈweɪk/,醒着的,adj.,I was awake all night.,我整晚醒着。
balance,/ˈbæləns/,平衡,n.,Keep your balance.,保持平衡。
bargain,/ˈbɑːɡən/,讨价还价,v.,We bargained for a low price.,我们砍价到低价。
